fao_trade_multiplex,celegans_connectome_multiplex,fb-tw,homo_genetic_multiplex,sacchpomb_genetic_multiplex,Sanremo2016_final_multiplex
0,2.098963975906372,2,3,4,5
6,0.1728240101529921,8,9,10,11
